ECI2002     
# 1485 patches, random layout
ORIGINATOR      "System Brunner AG, www.systembrunner.ch, Copyright 2004 System Brunner AG"
DESCRIPTOR      "EUROSB104S"
CREATED	"7/5/2004"  # Time: 19:20
INSTRUMENTATION "GretagMacbeth SpectroScanT, Illumination=D50, ObserverAngle=2 degree, Geometry 45/0, WhiteBase=Absolute, Filter=No, White backing"
PRINT_CONDITIONS        "Offset printing, according to Eurostandard System Brunner specification, within ISO 12647-2:2004 tolerances, paper type coated/semi-matte, 115 g/m2, TVI 15%, screen ruling 60 L/cm, for further information see documentation"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1485						
BEGIN_DATA							
151	G2	10.21	9.24	21.18	36.44	10.54	-36.71
127	G3	36.02	44.33	54.23	72.45	-21.14	-21.40
115	G4	27.80	19.99	23.57	51.83	37.95	-14.79
74	G5	15.07	21.53	49.33	53.53	-30.35	-48.62
799	G6	8.02	10.24	22.62	38.27	-15.65	-36.37
901	G7	11.01	13.16	7.33	43.00	-11.74	12.46
787	G8	23.64	22.43	26.39	54.48	9.13	-15.27
889	G9	26.65	24.63	8.58	56.71	12.30	31.30
769	G10	40.12	34.31	29.42	65.21	23.24	-1.82
92	G11	64.31	65.50	56.19	84.74	2.63	-2.28
152	G12	8.83	6.87	17.28	31.50	20.65	-36.89
128	G13	32.07	37.67	47.99	67.78	-14.68	-22.51
116	G14	24.46	15.17	18.40	45.87	49.85	-14.62
236	G15	12.59	19.95	35.25	51.78	-38.46	-33.78
323	G16	5.77	5.35	12.76	27.70	7.17	-32.02
587	G17	46.13	49.76	9.26	75.92	-5.15	62.01
214	G18	17.74	14.05	19.25	44.30	24.48	-19.17
623	G19	17.76	25.50	8.40	57.56	-32.56	33.45
178	G20	36.35	25.11	21.37	57.18	45.77	-1.33
164	G21	71.97	71.80	49.75	87.87	5.85	10.11
224	G22	11.51	8.36	15.19	34.72	27.59	-26.33
200	G23	40.99	45.70	43.41	73.35	-9.17	-7.42
188	G24	28.07	17.18	16.40	48.49	53.39	-5.55
398	G25	10.65	18.54	24.42	50.15	-45.25	-19.24
1277	G26	1.52	1.43	1.22	12.15	4.10	-0.50
815	G27	38.69	40.68	33.35	69.95	-1.68	0.30
1271	G28	2.23	1.86	1.24	14.73	10.07	3.60
827	G29	17.56	22.31	28.38	54.35	-19.84	-18.85
233	G30	8.46	6.87	15.30	31.50	17.48	-32.17
596	G31	39.61	44.44	9.07	72.52	-9.85	56.81
197	G32	24.17	15.22	16.27	45.94	48.30	-9.62
632	G33	12.23	20.52	8.22	52.42	-43.70	25.25
873	H1	3.94	3.39	7.12	21.56	10.38	-23.63
826	H2	18.94	25.36	31.15	57.42	-25.83	-17.98
861	H3	13.17	7.76	7.30	33.47	44.24	-3.84
814	H4	42.18	46.52	36.88	73.88	-7.86	2.03
843	H5	23.29	12.51	7.35	42.02	61.31	10.70
87	H6	47.95	35.93	31.36	66.47	40.66	-2.69
139	H7	20.42	23.17	36.72	55.25	-9.07	-29.87
123	H8	27.12	22.64	28.53	54.70	22.86	-18.49
103	H9	47.16	44.51	43.09	72.57	12.19	-8.36
159	H10	8.75	10.07	25.37	37.96	-7.89	-41.96
734	H11	30.74	20.93	21.11	52.87	44.72	-8.23
924	H12	29.14	30.15	4.26	61.78	0.27	59.64
752	H13	17.96	13.34	19.42	43.27	30.05	-21.31
936	H14	11.37	15.66	4.18	46.53	-24.37	33.81
764	H15	6.06	5.85	17.25	29.02	4.78	-41.09
176	H16	47.49	41.32	33.27	70.40	22.44	1.20
228	H17	15.52	20.95	33.19	52.89	-24.97	-28.88
212	H18	23.46	23.72	29.16	55.81	2.60	-17.61
192	H19	43.12	44.33	39.86	72.45	1.12	-4.44
321	H20	7.55	9.44	18.45	36.81	-13.74	-30.36
967	H21	6.84	9.20	20.57	36.36	-18.72	-35.61
1064	H22	5.65	5.49	2.44	28.09	4.17	14.20
957	H23	19.26	19.98	25.18	51.82	-0.03	-17.74
1054	H24	13.58	10.37	2.46	38.49	25.27	31.92
947	H25	31.50	29.82	27.87	61.50	10.30	-5.68
177	H26	40.92	31.61	26.48	63.02	35.13	-0.70
211	H27	25.43	27.45	32.72	59.39	-4.30	-16.96
213	H28	19.88	17.95	23.74	49.44	13.32	-19.21
175	H29	52.01	48.23	37.89	74.97	14.90	2.53
