ISO28178
ORIGINATOR	"X-Rite, Inc."
FILE_DESCRIPTOR	"Japan Color 2011 for Sheet-fed Offset based on ISO 12647-2"
CREATED	"2011/03/05"
INSTRUMENTATION	"i1iO"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT							
SAMPLE_NO	SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT							
NUMBER_OF_SETS	1617							
BEGIN_DATA								
143	125	40	85	10	0	43.593464	41.319966	-17.608817
144	1151	20	0	70	60	49.900686	-9.218028	28.728846
145	267	20	55	30	0	61.446322	25.192143	2.872207
146	1348	0	0	0	98	19.532901	1.441959	2.163803
147	700	55	70	100	0	42.949292	11.695674	30.251472
148	1051	20	0	100	40	60.668398	-12.377807	60.236629
149	684	30	100	100	0	38.796236	53.812422	30.402822
150	1601	70	40	0	10	49.156990	-2.535504	-34.415054
151	70	85	70	0	0	37.321790	7.431462	-42.153901
152	420	10	55	55	0	63.578393	27.881341	24.600186
153	906	100	20	70	20	39.132860	-46.272162	-4.773689
154	319	100	30	30	0	43.672538	-34.012446	-33.542834
155	1198	0	70	0	80	27.221700	22.461437	-2.956484
156	180	10	100	20	0	43.977370	69.320433	0.068703
157	242	100	85	20	0	27.588984	1.649564	-39.656689
158	108	20	100	10	0	41.466739	65.601172	-8.460340
159	1135	40	100	40	60	22.605056	33.020078	-3.016965
160	1301	15	0	0	0	88.237442	-4.882326	-9.051635
161	53	55	85	0	0	39.403520	34.490055	-29.415006
162	194	30	40	20	0	65.377242	11.056471	-5.686194
163	809	10	10	20	20	74.091746	0.167609	6.185483
164	1584	40	70	40	10	46.184581	24.115801	-1.503421
165	850	20	0	40	20	73.690936	-10.413664	17.650686
166	794	70	70	10	20	36.370141	12.632889	-27.285398
167	1485	3	40	40	40	55.008205	14.785675	14.145477
168	391	85	30	40	0	48.847206	-26.352659	-18.745137
169	877	0	40	70	20	64.316191	17.383142	39.770550
170	1558	20	70	20	10	51.829867	34.858552	-4.021224
171	1555	20	40	70	10	62.436932	10.037363	32.968005
172	164	0	10	20	0	88.465691	4.490888	12.845318
173	1082	40	20	0	60	43.008067	-0.741581	-13.767569
174	1310	0	90	0	0	51.779101	65.968015	-5.417160
175	673	20	70	100	0	53.453414	32.501619	49.783092
176	228	85	20	20	0	52.706502	-26.144229	-30.928726
177	744	20	20	0	20	68.353743	4.502563	-11.895461
178	434	30	10	55	0	75.482598	-10.941654	26.411158
179	1293	75	0	0	0	63.977800	-25.213517	-38.832769
180	1215	0	100	40	80	21.088897	33.709766	5.858565
181	126	40	100	10	0	36.504707	55.722445	-17.737349
182	562	100	30	70	0	41.705584	-47.288682	-6.519242
183	450	40	100	55	0	36.265341	51.559424	3.087866
184	1013	70	40	40	40	38.532394	-8.328051	-9.592165
185	1105	20	100	20	60	25.046168	40.550828	-3.538551
186	1572	40	20	10	10	65.810447	-3.427809	-14.114673
187	458	55	85	55	0	38.401902	27.258751	-2.139245
188	1450	0	40	0	3	74.281290	25.121545	-5.934912
189	891	20	100	70	20	36.415436	53.426074	16.608651
190	486	100	100	55	0	21.053640	5.868094	-25.246019
191	524	40	10	70	0	70.885062	-16.739768	33.519390
192	1266	100	0	0	100	12.351986	-7.460945	-8.692653
193	1328	0	0	98	0	89.188226	-6.327004	92.853747
194	1196	0	0	0	80	41.467871	0.341572	-0.722958
195	219	70	20	20	0	58.358453	-18.455028	-23.195778
196	1032	40	20	70	40	50.748726	-8.395877	22.964141
197	964	70	70	0	40	30.992748	13.391268	-28.029145
198	1240	100	0	70	80	23.278167	-28.002594	-1.094137
199	256	10	30	30	0	75.750559	11.467258	11.235243
200	658	10	0	100	0	84.940372	-11.108067	87.121965
201	1101	20	0	20	60	51.432989	-5.779654	2.202619
202	237	100	20	20	0	46.760888	-35.226565	-39.137085
203	1441	3	40	3	0	74.666269	24.030403	-4.887316
204	1530	10	40	70	10	65.362869	14.351919	37.582521
205	990	70	100	20	40	22.348584	28.845174	-20.692282
206	568	0	0	85	0	89.849332	-6.083507	76.592649
207	204	40	55	20	0	55.764683	17.131244	-11.596070
208	232	85	70	20	0	36.584965	2.655195	-32.348658
209	402	100	55	40	0	36.015019	-23.354872	-28.873715
210	1275	100	0	40	100	13.353194	-10.575429	-3.480885
211	413	0	85	55	0	53.764166	57.272518	23.568906
212	1561	40	0	0	10	73.440297	-12.172731	-19.606541
213	849	10	100	40	20	38.459946	59.946349	7.204656
214	603	30	100	85	0	38.893665	54.505533	22.917048
215	294	55	55	30	0	50.485740	8.040297	-13.220957
216	815	20	10	20	20	70.911049	-3.012298	2.046500
217	999	0	70	40	40	45.321724	33.452391	11.311473
218	812	10	70	20	20	50.952491	36.405238	-0.422398
219	1429	7	0	0	7	87.206140	-2.106105	-4.983133
220	647	100	85	85	0	25.749123	-14.514218	-7.228259
221	605	40	10	85	0	70.234654	-17.792236	47.947617
222	459	55	100	55	0	32.041021	42.142900	-4.386989
223	484	100	70	55	0	31.005607	-18.649113	-21.319570
224	22	20	30	0	0	73.849539	10.987073	-14.015488
225	1167	100	20	70	60	27.658232	-31.865139	-3.444232
226	304	70	70	30	0	40.651995	10.411515	-20.549690
227	1591	70	10	0	10	58.705694	-17.157851	-34.127373
228	480	100	20	55	0	44.748947	-47.757811	-15.646466
229	756	70	20	0	20	52.325848	-11.761119	-32.127489
230	39	40	20	0	0	70.850875	-1.957181	-22.238780
231	1566	40	10	0	10	69.788021	-6.774597	-20.325092
232	405	100	100	40	0	21.425579	9.394849	-32.086878
233	811	10	40	20	20	62.928226	16.572180	2.125977
234	349	20	70	40	0	54.893519	35.604193	7.298582
235	1267	100	40	0	100	11.119391	-1.602746	-8.111442
236	834	100	20	20	20	41.349729	-31.383798	-34.590002
237	291	55	20	30	0	63.193634	-13.756075	-9.395198
238	607	40	30	85	0	63.267136	-6.259376	41.722628
239	1415	3	0	3	0	92.829288	-1.187958	0.006584
240	1258	100	70	100	80	15.778315	-11.205259	3.485683
241	851	20	10	40	20	70.036848	-4.995111	15.460346
242	526	40	30	70	0	63.746813	-5.225389	28.219443
243	1404	10	6	6	100	16.261595	1.429339	2.188881
244	1416	0	3	3	0	92.604651	2.042544	1.117744
245	1145	100	100	40	60	14.785196	6.084286	-18.894669
246	1612	100	0	0	10	50.260620	-34.248706	-48.687721
247	547	70	70	70	0	39.439665	4.528509	2.845914
248	707	70	40	100	0	48.415797	-19.180510	32.612814
249	680	30	40	100	0	62.416514	5.038628	58.137872
250	396	85	100	40	0	25.069088	23.494453	-25.321123
251	1039	70	70	70	40	30.080229	4.025318	1.764454
252	433	30	0	55	0	79.557130	-17.015262	29.208111
253	124	40	70	10	0	49.916532	29.148242	-17.536366
254	1532	10	70	10	10	54.553759	39.781532	-5.216373
255	44	40	85	0	0	43.755531	42.602350	-22.395360
256	158	100	40	10	0	41.881966	-22.096157	-44.647002
257	461	70	10	55	0	59.562880	-30.537421	3.853576
258	1200	40	0	0	80	35.021520	-5.651856	-8.775102
259	1604	70	40	40	10	47.710737	-10.406216	-11.581491
260	365	40	40	40	0	61.267892	4.209568	2.875535
261	184	20	30	20	0	72.827832	8.444244	-0.100059
262	586	20	0	85	0	81.814073	-14.880507	63.949831
263	1405	100	0	0	70	28.590298	-20.988845	-28.256558
264	72	85	100	0	0	25.496533	31.473079	-41.098789
265	953	20	40	0	40	52.070415	13.186548	-11.482779
266	144	70	100	10	0	28.852372	39.279958	-30.809858
267	1533	10	70	20	10	54.383334	38.996768	-0.172805
268	598	30	30	85	0	66.825118	-1.110404	47.426011
269	1454	40	3	3	3	75.432501	-11.666455	-17.978832
270	1489	0	0	40	10	86.156318	-3.701976	29.199588
271	1516	10	10	0	10	80.120834	2.745476	-7.498006
272	685	40	0	100	0	73.320467	-24.382809	68.121774
273	441	30	100	55	0	38.900158	56.880677	7.628005
274	966	100	0	0	40	40.520287	-28.792014	-39.527576
275	699	55	55	100	0	48.149338	0.896692	36.167134
276	1514	10	0	40	10	82.328448	-7.556705	24.000279
277	1308	0	98	0	0	47.345050	74.568708	-3.933879
278	1488	0	0	20	10	87.092556	-1.931356	13.746611
279	7	0	70	0	0	61.327753	48.543676	-6.672910
280	1242	100	70	70	80	15.634925	-8.585559	-5.080654
281	1363	0	0	0	7	90.079000	0.417104	-1.478047
282	930	40	20	100	20	58.389323	-11.373535	52.488630
283	1070	100	100	100	40	16.911755	-2.951182	-2.428544
284	838	0	0	40	20	80.670458	-3.567180	26.862242
285	1131	40	0	40	60	46.867072	-11.857491	5.795606
286	375	55	55	40	0	50.281183	6.540025	-7.062022
287	627	70	55	85	0	44.071142	-7.700003	16.863661
288	859	40	40	40	20	53.977496	3.745528	2.199366
289	783	20	100	10	20	36.258008	58.096783	-8.159713
290	540	55	100	70	0	32.140078	40.657034	3.039264
291	1029	20	70	70	40	40.674666	25.176036	19.659345
292	1315	0	60	0	0	66.047854	40.757763	-6.769748
293	35	30	85	0	0	46.412550	47.404237	-18.116327
294	1098	0	40	20	60	45.460952	13.840614	4.036862
295	1027	20	20	70	40	55.946944	-1.976573	30.685187
296	1439	40	3	3	0	77.092225	-11.912488	-18.351097
297	24	20	55	0	0	62.512383	28.140417	-15.245545
298	1556	20	70	0	10	52.114104	36.692318	-14.316969
299	1509	0	70	40	10	56.672877	42.204142	14.891807
300	1610	70	70	70	10	37.333635	4.309997	2.626603
301	454	55	30	55	0	58.736663	-12.051528	8.091620
302	474	85	55	55	0	40.430024	-14.745233	-11.464321
303	880	10	0	70	20	75.548621	-9.129683	46.885099
304	571	0	30	85	0	77.148666	13.114205	63.612670
305	98	10	85	10	0	51.361010	55.271375	-5.150604
306	154	100	0	10	0	52.738957	-40.400905	-45.128906
307	844	10	0	40	20	77.059172	-7.146288	22.107695
308	548	70	85	70	0	34.269654	16.104865	-0.833245
309	440	30	85	55	0	45.499211	42.132413	9.986851
310	276	30	55	30	0	58.556802	20.742735	-1.324006
311	1144	100	70	40	60	20.428473	-8.045930	-18.404540
312	617	55	40	85	0	54.010124	-8.723617	29.188832
313	983	40	40	20	40	46.865755	5.414736	-8.319803
314	307	85	0	30	0	57.857028	-38.688038	-23.264240
315	1582	40	70	10	10	46.853139	27.276385	-16.601292
316	675	20	100	100	0	41.362442	59.183415	35.505525
317	855	20	100	40	20	36.328920	55.823438	3.406866
318	810	10	20	20	20	70.485407	5.325770	4.702263
319	288	40	100	30	0	36.362283	53.945278	-9.134770
320	1324	0	5	0	0	91.901413	3.762373	-2.207291
321	972	0	20	20	40	62.957268	7.410563	7.310444
322	1469	3	3	0	40	68.454187	0.804438	-3.074023
323	745	20	40	0	20	61.041526	15.193119	-13.106572
324	1153	20	40	70	60	40.564284	6.224901	21.030997
325	705	70	20	100	0	54.512425	-30.882832	39.341393
326	397	100	0	40	0	50.777585	-51.884948	-25.016606
327	950	0	100	0	40	34.499211	57.961217	-4.246667
328	1059	40	70	100	40	36.272675	16.186648	28.783488
329	1276	100	40	40	100	11.409473	-4.225785	-3.118840
330	985	40	100	20	40	27.587815	42.420262	-10.553219
331	818	20	70	20	20	48.543821	32.671333	-4.009214
332	994	100	70	20	40	25.104398	-6.169108	-30.240908
333	989	70	70	20	40	31.100288	9.941065	-19.994035
334	910	0	0	100	20	78.001853	-6.162818	82.066472
335	1238	70	70	70	80	18.789619	2.725692	1.602798
336	1309	0	95	0	0	48.852538	71.630259	-4.485337
337	584	10	85	85	0	50.539496	50.609282	37.272215
338	254	10	10	30	0	84.046117	-0.678350	15.154667
339	289	55	0	30	0	70.154003	-24.764265	-6.789050
340	1085	40	100	0	60	22.276255	36.419598	-13.670572
341	209	55	10	20	0	67.035313	-17.378345	-15.222145
342	1125	0	100	40	60	27.975236	45.097362	6.780574
343	383	70	40	40	0	51.027243	-11.279093	-12.076498
344	206	40	85	20	0	43.433727	40.222611	-13.034511
345	697	55	30	100	0	56.868883	-16.035618	45.599527
346	358	30	70	40	0	52.117312	30.905957	3.065375
347	1468	0	3	0	40	69.393440	1.647663	-1.944347
348	1392	10	6	6	60	52.427502	-0.198566	-1.997249
349	1163	70	40	70	60	30.502955	-9.389483	4.979425
350	1201	40	40	0	80	27.644078	5.919311	-10.853224
351	177	10	55	20	0	64.661808	30.488905	1.156924
352	421	10	70	55	0	57.301490	39.330580	21.523977
353	777	10	100	10	20	38.403721	62.077903	-4.390551
354	597	30	20	85	0	70.503139	-7.085505	50.781481
355	1559	20	70	40	10	51.365491	33.286469	6.551179
356	843	0	100	40	20	40.787529	64.292315	11.353685
357	1073	0	40	0	60	45.811463	15.329961	-4.012532
358	1463	40	3	40	3	73.469879	-17.305794	9.184391
359	780	20	20	10	20	67.877481	3.196708	-5.397846
360	230	85	40	20	0	46.641313	-15.764100	-31.656317
361	89	0	85	10	0	54.172375	60.308533	-0.668091
362	115	30	70	10	0	52.739767	33.923588	-13.326515
363	455	55	40	55	0	55.233075	-5.781838	5.992686
364	610	40	70	85	0	48.020081	22.407349	27.943002
365	285	40	55	30	0	55.488022	15.975682	-5.820365
366	156	100	20	10	0	47.285842	-31.477518	-45.053711
367	629	70	85	85	0	33.968251	14.605795	7.763866
368	1247	0	100	100	80	21.460563	30.052136	18.058680
369	1136	70	0	40	60	39.468913	-20.211180	-4.592776
370	506	20	10	70	0	78.422145	-7.838265	44.850203
371	1343	0	0	7	0	93.899542	-0.465761	4.610520
372	872	100	70	40	20	28.286683	-12.403292	-26.354179
373	1390	40	27	27	60	40.563510	-0.989268	-3.235648
374	328	0	30	40	0	78.883988	15.280281	23.815419
375	1154	20	70	70	60	32.848255	20.672998	15.738299
376	652	0	30	100	0	76.704057	12.809823	79.832388
377	17	10	85	0	0	51.521211	56.195293	-10.140426
378	1223	70	100	40	80	14.635516	16.086498	-6.863511
379	2	0	10	0	0	89.526049	6.914883	-2.923241
380	475	85	70	55	0	35.610245	-4.772932	-13.388184
381	26	20	85	0	0	48.927784	51.804442	-14.093505
382	142	70	70	10	0	41.180806	13.734988	-30.536995
383	1511	10	0	0	10	84.375781	-3.036728	-6.269225
384	1093	100	40	0	60	26.567121	-11.974463	-31.530725
385	702	55	100	100	0	31.874075	38.092682	17.540487
386	1084	40	70	0	60	30.061655	20.333054	-14.789652
387	251	0	85	30	0	53.973639	58.798410	9.267883
388	829	70	40	20	20	45.738644	-6.398374	-21.571615
389	570	0	20	85	0	81.323060	6.669016	67.394559
390	936	70	20	100	20	48.449914	-27.125846	34.652256
391	1254	70	70	100	80	18.959378	0.654244	9.985732
392	225	70	100	20	0	28.735729	37.751164	-26.914467
393	1613	0	100	0	10	43.573796	71.187674	-4.110163
394	1171	0	0	100	60	53.482146	-5.093072	56.317690
395	1408	100	100	0	70	13.547526	11.519515	-25.147091
396	837	100	100	20	20	19.730094	12.873547	-35.444304
397	297	55	100	30	0	32.201100	44.897024	-16.570886
398	1063	70	40	100	40	37.541427	-14.676891	24.997913
399	1381	10	6	6	20	76.205893	-0.346013	-2.453396
400	495	0	100	70	0	46.950751	70.856684	28.721715
401	1366	0	0	0	2	92.666328	0.458602	-1.445670
402	1417	3	3	3	0	91.328693	0.835655	-0.499645
403	432	20	100	55	0	41.370753	61.770680	12.053703
404	1515	10	0	70	10	80.797680	-9.599643	50.367932
405	822	40	20	20	20	61.309295	-4.504505	-7.457436
406	274	30	30	30	0	69.089527	3.320370	2.154572
407	1605	70	40	70	10	46.495848	-14.950780	8.109820
408	1142	100	20	40	60	28.586821	-26.131221	-16.887010
409	261	10	100	30	0	43.934227	68.605949	4.422980
410	819	20	100	20	20	36.352056	57.360425	-4.468258
411	357	30	55	40	0	58.232910	19.746524	5.068286
412	1451	3	40	0	3	73.261155	23.813743	-7.314999
413	759	70	100	0	20	25.821955	36.866547	-30.821103
414	913	0	40	100	20	63.521277	16.502345	65.712683
415	1211	100	100	0	80	12.085057	10.192408	-20.417491
416	229	85	30	20	0	49.845397	-21.293937	-31.283281
417	94	10	30	10	0	76.588886	13.525046	-2.448750
418	1422	3	0	3	3	90.863173	-1.181779	-0.049221
419	785	40	10	10	20	64.861600	-7.989397	-12.503025
420	173	10	10	20	0	84.526929	0.367689	7.625671
421	871	100	40	40	20	36.070440	-28.425990	-24.862408
422	1483	3	3	40	40	66.675462	-2.669945	20.419523
423	623	70	10	85	0	58.134442	-34.653995	28.743439
424	27	20	100	0	0	41.419633	66.758787	-12.524852
