ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
93	10	20	10	0	45.2	43.46	32.69	71.87	9.68	4.59
94	10	30	10	0	41.77	38.17	29.46	68.14	15.66	3.18
95	10	40	10	0	38.78	33.67	26.56	64.7	21.21	2.07
96	10	55	10	0	35.31	28.59	23.03	60.42	28.35	1.04
97	10	70	10	0	32.81	25.03	20.4	57.1	33.99	0.51
98	10	85	10	0	31.21	22.78	18.58	54.85	37.92	0.47
99	10	100	10	0	30.04	21.19	17.18	53.15	40.9	0.68
100	20	0	10	0	46.52	51.21	39.77	76.81	-7.86	3.18
101	20	10	10	0	42.67	44.67	35.74	72.68	-1.21	1.56
102	20	20	10	0	39.16	38.91	31.97	68.68	5.26	0.18
103	20	30	10	0	36.26	34.27	28.88	65.17	11.02	-1.01
104	20	40	10	0	33.74	30.34	26.11	61.95	16.36	-1.91
105	20	55	10	0	30.8	25.88	22.77	57.93	23.14	-2.76
106	20	70	10	0	28.67	22.74	20.3	54.81	28.52	-3.25
107	20	85	10	0	27.32	20.78	18.58	52.71	32.22	-3.22
108	20	100	10	0	26.35	19.4	17.28	51.15	35.03	-3
109	30	0	10	0	40.22	45.67	38.76	73.33	-11.47	-1.46
110	30	10	10	0	37.04	40.04	34.92	69.5	-5.07	-2.75
111	30	20	10	0	34.07	34.98	31.33	65.74	1.19	-3.91
